Station_Name,Latitude,Longitude,State,Town,Power_kW
Tata Power Charging Station,20.7425344,81.5791428,Odisha,,30.0
BPCL Charging Station,20.817085,81.68281019999999,Odisha,,30.0
Ather Grid Charging Station,20.5307153,86.3579333,Odisha,,1.100000023841858
kesannager electric office,20.4209459,86.0903038,Odisha,,0.0
Adani Charging Station,20.482358899999998,86.0581588,Odisha,,7.4
Tata Power Charging Station,20.3702497,85.8909745,Odisha,,25.0
Ather Grid Charging Station,20.491885999999997,85.93527,Odisha,,1.1
Ather Grid Charging Station,20.4791192,85.8398223,Odisha,,1.1
Tata Power Charging Station,20.529315999999998,85.949237,Odisha,,25.0
Ather Grid Charging Station,20.453737,85.88848999999999,Odisha,,1.100000023841858
Electric Vehicle Charging Station,20.4116317,85.8794133,Odisha,,0.0
Tata Power Charging Station,20.481787,85.81721300000001,Odisha,,25.0
Ather Grid Charging Station,20.4497938,85.8982001,Odisha,,1.1
Ather Grid Charging Station,20.469631,85.85469,Odisha,,1.100000023841858
Ather Grid Charging Station,20.460117,85.88938,Odisha,,1.100000023841858
Ather Grid Charging Station,20.442349999999998,85.90481,Odisha,,1.1
Bal Gopal Motors,20.4551603,85.88665549999999,Odisha,,0.0
Ather Charging Station,20.446043,85.9069427,Odisha,,1.1
Ather Grid Charging Station,20.4660615,85.9053606,Odisha,,1.1
Ather Grid Charging Station,20.474403,85.84479979999999,Odisha,,1.100000023841858
Tata Power Charging Station,20.4051611,85.8798077,Odisha,,25.0
Jio-bp pulse Charging Station,20.5506603,85.774418,Odisha,,7.4
Ather Grid Charging Station,20.4621758,85.8837439,Odisha,,1.100000023841858
Jio-bp pulse EV Charging Station,20.3770148,85.8893793,Odisha,,7.4
Hindustan Petroleum Corporation Limited,20.5512697,85.98549589999999,Odisha,,0.0
Hindustan Petroleum Corporation Limited,20.289510099999998,86.6453834,Odisha,,0.0
Tata Power Charging Station,20.307243,86.320751,Odisha,,25.0
Ather Grid Charging Station,20.260697399999998,86.20164369999999,Odisha,,1.100000023841858
BPCL Charging Station,20.193901,85.85999199999999,Odisha,,30.0
Electric Vehicle Charging Station,20.289134999999998,85.8152489,Odisha,,0.0
